"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"54",54,54,"2786 38th Ave",94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"55",55,55,"21st Ave",94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"56",56,56,"Rockdale Dr",94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"57",57,57,"Orizaba Ave",94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
"58",58,58,"525 20th Avenue # Upper Floor",94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"59",59,59,"268 Madison St",94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"60",60,60,"848 N Point St",94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,0
"61",61,61,"Central Ave",94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"62",62,62,"1133 Kansas St",94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"63",63,63,"2351 33rd Ave",94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"64",64,64,"Washington St",94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"65",65,65,"Pierce St",94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,0
"66",66,66,"459 Colon Ave",94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"67",67,67,"243 Noriega St",94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"68",68,68,"135 Evelyn Way",94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"69",69,69,"21 Summit Way",94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
