"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"62",133,133,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"63",134,134,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"64",135,135,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"65",137,137,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,0
"66",139,139,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,0
"67",142,142,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,0
"68",143,143,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",0
"69",144,144,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,0
"70",145,145,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,0
"71",147,147,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"72",148,148,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,0
"73",149,149,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",0
"74",152,152,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,0
"75",157,157,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",0
"76",160,160,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",0
"77",161,161,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",0
"78",163,163,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,0
"79",165,165,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",0
