"","X.1","X","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking","test"
"67",122,122,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"68",123,123,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"69",124,124,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"70",127,127,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"71",128,128,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"72",136,136,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"73",138,138,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",1
"74",140,140,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"75",141,141,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"76",146,146,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"77",150,150,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"78",151,151,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"79",153,153,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"80",154,154,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"81",155,155,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"82",156,156,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"83",158,158,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"84",159,159,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"85",162,162,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"86",164,164,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"87",167,167,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"88",168,168,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"89",169,169,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"90",172,172,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"91",175,175,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"92",176,176,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"93",178,178,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"94",179,179,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"95",180,180,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"96",185,185,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"97",186,186,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"98",187,187,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"99",190,190,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"100",191,191,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"101",193,193,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"102",197,197,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"103",198,198,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"104",199,199,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"105",202,202,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"106",206,206,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"107",207,207,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"108",208,208,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"109",209,209,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"110",212,212,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"111",214,214,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"112",215,215,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"113",216,216,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"114",217,217,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"115",225,225,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"116",227,227,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"117",228,228,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"118",232,232,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"119",233,233,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"120",234,234,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"121",235,235,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"122",240,240,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"123",241,241,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"124",245,245,26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA,1
"125",247,247,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"126",248,248,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"127",249,249,19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA,1
"128",250,250,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"129",251,251,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"130",252,252,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"131",255,255,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"132",256,256,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"133",257,257,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"134",259,259,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"135",260,260,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"136",262,262,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"137",263,263,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"138",267,267,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"139",268,268,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"140",269,269,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"141",271,271,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"142",274,274,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"143",275,275,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"144",280,280,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"145",281,281,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"146",282,282,15,94127,4700,3,1.5,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"147",283,283,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"148",284,284,2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"149",285,285,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"150",286,286,3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA,1
"151",287,287,18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA,1
"152",288,288,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"153",290,290,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"154",291,291,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"155",295,295,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"156",297,297,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"157",300,300,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",1
"158",302,302,12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street",1
"159",306,306,9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA,1
"160",307,307,27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA,1
"161",310,310,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"162",316,316,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"163",317,317,17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA,1
"164",319,319,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"165",320,320,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"166",321,321,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"167",322,322,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"168",325,325,6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA,1
"169",327,327,24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street",1
"170",328,328,16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA,1
"171",331,331,21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA,1
"172",332,332,1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space",1
"173",335,335,25,94123,25000,4,3.5,3884,"House","Single Family","In Unit",NA,NA,"No",NA,1
"174",337,337,10,94122,5000,3,2.5,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"175",339,339,5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA,1
"176",342,342,20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space",1
"177",343,343,11,94124,4500,3,2.5,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage",1
"178",345,345,4,94123,9500,2,2.5,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage",1
"179",346,346,22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage",1
"180",347,347,7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space",1
"181",348,348,14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA,1
"182",349,349,8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street",1
"183",350,350,23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage",1
"184",351,351,13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street",1
"185",352,352,407,94117,4100,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"186",353,353,407,94117,3500,1,1,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",1
"187",356,356,404,94123,5350,2,2,1500,"Apt","Multi Family","Shared","Baseboard","Central","Yes","Garage",1
"188",357,357,404,94123,3900,2,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Garage",1
"189",358,358,403,94123,5500,7,1,1500,"Apt","Multi Family","Shared","Forced air","None","Yes","Both",1
"190",359,359,402,94105,4000,1,1,NA,"Apt","Multi Family",NA,"Forced air","None","Yes","None",1
"191",366,366,395,94109,4250,2,2,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Garage",1
"192",367,367,394,94123,4200,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",1
"193",368,368,393,94131,3499,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"194",369,369,392,94105,5500,1,1,700,"Apt","Multi Family","In Unit",NA,NA,"No",NA,1
"195",370,370,391,94110,3800,3,1,NA,"Apt","Multi Family","Shared","Forced air",NA,"Yes","Both",1
"196",371,371,390,94103,3095,1,1,765,"Apt","Multi Family","In Unit","Forced air","None","Yes","Garage",1
"197",374,374,390,94103,5900,2,2,1031,"Apt","Multi Family","In Unit","Forced air","Central","No",NA,1
"198",375,375,390,94103,3195,1,1,756,"Apt","Multi Family","In Unit","Forced air","None","Yes","Both",1
"199",376,376,389,94118,4500,1,1,645,"Apt","Multi Family","In Unit",NA,NA,"No",NA,1
"200",377,377,388,94117,4675,2,2,1250,"Apt","Multi Family","Shared",NA,NA,"Yes","Garage",1
"201",380,380,385,94123,2400,7,1,NA,"Apt","Multi Family","Shared","Baseboard","None","Yes","Garage",1
"202",381,381,384,94102,5750,3,2,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both",1
"203",382,382,383,94105,3299,1,1,658,"Apt","Multi Family","In Unit",NA,NA,"Yes","Garage",1
"204",386,386,381,94118,2150,1,1,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Both",1
"205",387,387,380,94118,3600,2,2,NA,"Apt","Apartment","Shared",NA,NA,"Yes","Both",1
"206",388,388,379,94133,10000,2,2,1400,"Apt","Multi Family",NA,"Radiant","Central","Yes","Garage",1
"207",399,399,371,94109,3645,1,1,NA,"Apt","Multi Family","In Unit","Forced air",NA,"Yes","Garage",1
"208",403,403,368,94103,8500,3,3.5,NA,"Apt","Multi Family","In Unit","Forced air","None","Yes","Garage",1
"209",405,405,367,94115,4500,1,1,NA,"Apt","Multi Family","Shared","Forced air","None","Yes","Garage",1
"210",407,407,364,94133,2895,1,1,850,"Apt","Multi Family","Shared","Forced air","Central","Yes","Garage",1
"211",408,408,363,94117,3595,2,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both",1
"212",410,410,361,94110,2300,1,1,4882,"Apt","Apartment",NA,"Forced air","Wall","Yes",NA,1
"213",411,411,360,94109,1850,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"214",412,412,359,94110,4600,2,1,NA,"Apt","Multi Family","In Unit",NA,NA,"Yes",NA,1
"215",414,414,357,94117,4595,2,1,879,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"216",419,419,352,94133,3400,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"217",422,422,349,94110,2195,1,1,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,1
"218",424,424,347,94109,2245,7,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,1
"219",425,425,346,94117,4500,2,1,1000,"Apt","Apartment","Shared",NA,NA,"Yes",NA,1
"220",430,430,341,94107,2500,7,1,800,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"221",435,435,336,94131,5950,2,2,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage",1
"222",436,436,335,94117,2250,1,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,1
"223",437,437,334,94117,4100,1,1,640,"Apt","Apartment","In Unit","Forced air",NA,"Yes","Garage",1
"224",442,442,329,94110,3450,2,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"225",446,446,325,94107,2452,7,1,233,"Apt","Apartment",NA,NA,NA,"No",NA,1
"226",449,449,322,94117,5895,3,2,NA,"Apt","Apartment",NA,NA,NA,"Yes",NA,1
"227",450,450,321,94109,2895,1,1,860,"Apt","Apartment","Shared",NA,NA,"Yes",NA,1
"228",451,451,320,94118,4200,3,2,4351,"Apt","Apartment","Shared","Forced air","Central","Yes","Both",1
"229",453,453,318,94158,5495,2,2,1210,"Apt","Multi Family",NA,"Forced air","Central","Yes",NA,1
"230",454,454,317,94111,4295,1,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"231",459,459,312,94107,2500,1,1,550,"Apt","Apartment","Shared",NA,NA,"Yes",NA,1
"232",460,460,311,94117,3450,1,1,800,"Apt","Apartment",NA,NA,NA,"Yes",NA,1
"233",461,461,310,94107,3900,1,1.5,1152,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"234",463,463,308,94109,2400,7,1,550,"Apt","Apartment",NA,"Forced air",NA,"Yes",NA,1
"235",472,472,299,94103,5000,2,1,712,"Apt","Apartment",NA,NA,NA,"No",NA,1
"236",473,473,298,94124,3490,2,2,1016,"Apt","Multi Family","In Unit",NA,NA,"Yes","Garage",1
"237",475,475,296,94117,3795,2,1,850,"Apt","Multi Family","Shared",NA,NA,"Yes","Both",1
"238",476,476,295,94121,3100,2,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",1
"239",481,481,290,94110,7500,3,2,1750,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage",1
"240",482,482,289,94103,3346,1,1.5,756,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"241",483,483,288,94133,3595,2,1,600,"Apt","Apartment",NA,NA,NA,"No",NA,1
"242",488,488,283,94123,4000,1,1,1200,"Apt","Multi Family",NA,NA,NA,"Yes","18",1
"243",490,490,281,94133,2900,1,1,700,"Apt","Apartment",NA,NA,NA,"Yes","Both",1
"244",495,495,276,94103,3195,1,1,700,"Apt","Apartment","Shared","Forced air","Central","Yes","Garage",1
"245",498,498,273,94114,3670,1,1,625,"Apt","Apartment","Shared","Forced air",NA,"Yes","Garage",1
"246",500,500,271,94103,6495,3,2,NA,"Apt","Apartment","In Unit",NA,NA,"Yes",NA,1
"247",501,501,270,94133,2800,1,1,600,"Apt","Apartment",NA,NA,NA,"Yes",NA,1
"248",502,502,269,94121,5000,4,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,1
"249",503,503,268,94118,4195,2,1.5,1000,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"250",504,504,267,94118,2950,1,1,NA,"Apt","Apartment",NA,"Forced air",NA,"Yes","Both",1
"251",505,505,265,94158,4800,2,2,1170,"Apt","Multi Family","In Unit","Forced air","Other","No","Garage",1
"252",507,507,264,94112,2300,2,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"253",508,508,263,94112,2700,2,1,900,"Apt","Apartment",NA,NA,"Central","Yes","Both",1
"254",510,510,261,94123,20000,4,4,4610,"Apt","Multi Family","In Unit","Forced air","Central","No",NA,1
"255",512,512,259,94131,3795,2,2,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,1
"256",513,513,258,94115,4000,1,1,880,"Apt","Multi Family","In Unit",NA,NA,"No","Both",1
"257",517,517,254,94114,9000,3,3.5,2100,"Apt","Multi Family","In Unit",NA,NA,"No","Garage",1
"258",518,518,253,94123,8950,3,2,1750,"Apt","Apartment","In Unit","Forced air",NA,"Yes",NA,1
"259",520,520,251,94131,3595,2,1,NA,"Apt","Multi Family",NA,NA,NA,"Yes",NA,1
"260",521,521,250,94127,3350,2,NA,NA,"Apt","Multi Family",NA,NA,NA,"Yes","Both",1
"261",522,522,249,94118,2750,1,1,NA,"Apt","Multi Family","Shared","Wall","None","Yes","Both",1
"262",524,524,247,94105,4184,1,1,808,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage",1
"263",525,525,247,94105,5897,2,2,1224,"Apt","Apartment","In Unit",NA,NA,"Yes","Garage",1
"264",531,531,241,94114,2495,7,1,NA,"Apt","Multi Family",NA,NA,NA,"No",NA,1
"265",533,533,239,94121,2395,1,1,NA,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"266",534,534,238,94103,5700,3,2,1600,"Apt","Apartment","In Unit",NA,NA,"Yes",NA,1
"267",535,535,237,94118,3800,3,1,1300,"Apt","Apartment","Shared","Forced air",NA,"Yes","Both",1
"268",536,536,236,94118,2900,2,1,NA,"Apt","Multi Family","Shared",NA,NA,"Yes","Garage",1
