Column1,X,Address,Rent,Beds,Ba,Area,Type,Laundry,Heating,Cooling,Pets,Parking,zip
172,172,110 Gardenside Drive # Top Floor,2995,1,1,NA,Apartment,Shared,NA,NA,Cats,Garage - Detached,94131
135,135,1096 Pine St APT 106,1895,Studio,1,380,Apartment,Shared,NA,NA,No,NA,94109
302,302,1091 Bush St,1800,Studio,1,NA,Apartment,NA,NA,NA,No,NA,94109
204,204,1078 Potrero Ave,4395,3,2,NA,Apartment,NA,NA,NA,Cats,NA,94110
277,277,1069 Francisco St,6200,3,2,1708,Apartment,In Unit,Forced air,NA,No,"Off street, On street",94109
63,63,1065 Bush St # 211,2995,1,1,NA,Apartment,Shared,NA,NA,"Cats, small dogs",NA,94109
80,80,1053 Bush St APT B,1895,Studio,1,NA,Multi Family,Shared,NA,NA,Cats,On street,94109
139,139,1049A Page St,3500,2,1,NA,Apartment,NA,NA,NA,No,NA,94117
278,278,1023 Church St APT 4,3900,2,1,722,Multi Family,NA,NA,NA,No,NA,94114
31,31,101 Leland Ave,3650,3,2,800,Apartment,NA,NA,NA,No,NA,94134
343,343,101 Leland Ave # 99101,3500,3,2,1100,Apartment,Shared,NA,NA,No,NA,94134
234,234,101 Crescent Way APT 2315,3599,2,2,1337,Multi Family,NA,NA,NA,NA,NA,94134
224,224,1000 Union St APT 106,3200,1,1,NA,Apartment,Shared,NA,NA,Cats,NA,94133
237,237,1000 Powell St APT 43,2795,1,1,NA,Apartment,NA,NA,NA,No,NA,94108
345,345,1000 Judah St APT 303,2725,1,1,750,Multi Family,Shared,NA,NA,No,NA,94122
257,257,1000 Howard St APT 408,1699,1,1,420,Multi Family,NA,NA,NA,NA,NA,94103
54,54,1 Hawthorne Street 23c # 23C,5850,2,2,NA,Multi Family,NA,NA,NA,NA,NA,94105
294,294,1 Hawthorne St UNIT 3F,3500,1,1,498,Multi Family,NA,NA,NA,NA,Garage - Detached,94105
289,289,1 Daniel Burnham Ct,3500,1,1,600,Multi Family,Shared,Forced air,NA,"Cats, large dogs, small dogs","Garage - Detached, Off street",94109
220,220,1 Bluxome St,4800,2,1.5,1361,Multi Family,In Unit,Forced air,Other,NA,Garage - Detached,94107
222,222,NA,3095,1,1,600,Multi Family,Shared,NA,None,No,Garage - Attached,94123
381,381,NA,4900,1,1,1035,Multi Family,Shared,Radiant,None,No,Garage - Detached,94133
