Column1,X,Address,Rent,Beds,Ba,Area,Type,Laundry,Heating,Cooling,Pets,Parking,zip
192,192,3250 Market St APT 5,4750,2,2,1100,Apartment,NA,Forced air,NA,Cats,Off street,94114
179,179,3158 Mission St APT 1,4500,4,1.5,800,Apartment,NA,NA,NA,NA,NA,94110
52,52,3035 Baker St,5395,2,2,830,Apartment,In Unit,NA,NA,"Cats, small dogs",Garage - Attached,94123
402,402,3026 Clement St,5595,4,3.5,1600,Apartment,NA,Forced air,NA,No,On street,94121
17,17,300 Berry St 1503 300 Berry St # 1503,3600,1,1,732,Multi Family,NA,NA,NA,NA,NA,94158
36,36,30 Liberty St,2525,Studio,1,NA,Multi Family,NA,Wall,NA,No,NA,94110
99,99,29th Ave,1950,1,1,600,Multi Family,Shared,NA,NA,"Cats, small dogs",Off street,94122
295,295,2995 22nd St,5000,3,1,NA,Apartment,NA,NA,NA,No,NA,94110
261,261,2919 Pacheco St,3995,3,2,1356,Apartment,Shared,NA,NA,Cats,Garage - Attached,94116
232,232,291 Santos St APT 08,2500,1,1,NA,Multi Family,NA,NA,NA,NA,NA,94134
123,123,2900 Turk Blvd,4900,2,2,1600,Multi Family,NA,NA,NA,NA,NA,94118
265,265,2844 Harrison Street # Top Floor,6695,5,1.5,NA,Apartment,NA,NA,NA,Cats,NA,94110
140,140,283 4th Ave APT 4,2550,1,1,NA,Multi Family,NA,NA,NA,No,NA,94118
328,328,2808 Market St,2995,1,1,500,Apartment,In Unit,Forced air,NA,No,Garage - Attached,94114
282,282,2801 Jackson St APT 304,6000,2,1,1200,Apartment,Shared,NA,NA,"Cats, small dogs","Garage - Attached, Garage - Detached",94115
121,121,2801 Greenwich St,7995,5,2,1650,Apartment,In Unit,NA,NA,No,NA,94123
81,81,2775 Market St,3995,2,1,NA,Multi Family,NA,NA,NA,NA,NA,94114
342,342,2755 Franklin St APT 4,3300,1,1,NA,Apartment,Shared,NA,NA,No,Garage - Attached,94123
105,105,2750 Mcallister St APT 302,2200,Studio,1,400,Apartment,NA,Forced air,NA,No,"Garage - Detached, Off street",94118
233,233,2703 Laguna St # 1,2450,Studio,1,NA,Apartment,NA,NA,NA,Cats,On street,94123
51,51,2669 California St APT 1,3000,1,1,850,Apartment,Shared,Forced air,NA,No,On street,94115
229,229,2661 California St APT 4,3500,2,1,1000,Apartment,NA,NA,NA,No,NA,94115
391,391,2655 Pine St,2650,1,1,NA,Apartment,Shared,NA,NA,No,On street,94115
369,369,2652 Harrison St APT 306,3895,1,1.5,NA,Apartment,In Unit,Forced air,NA,No,Garage - Attached,94110
199,199,2652 Greenwich St # 1,3000,Studio,1,NA,Apartment,NA,Forced air,NA,No,On street,94123
92,92,2650 Franklin St,2195,Studio,1,NA,Apartment,NA,Forced air,NA,No,Garage - Attached,94123
152,152,265 N Point St,2390,Studio,1,NA,Apartment,NA,Forced air,NA,Cats,"Carport, Garage - Attached, Off street, On street",94133
421,421,2629 Folsom St,2550,1,1,550,Apartment,Shared,NA,NA,Cats,Carport,94110
91,91,2626 Great Hwy,3999,2,1,1250,Apartment,Shared,Forced air,NA,"Cats, small dogs",Garage - Attached,94116
334,334,2625 Hyde St,5250,4,1,NA,Apartment,In Unit,NA,NA,Cats,NA,94109
1,1,259 Dolores Street # FL 3RD,2850,1,1,600,Apartment,Shared,NA,NA,No,Off street,94103
386,386,2576 Washington St APT 4,3000,1,1,NA,Apartment,Shared,Forced air,NA,Cats,NA,94115
68,68,257 S Van Ness Ave,6950,Studio,1,4734,Multi Family,NA,Forced air,NA,NA,NA,94103
79,79,2539 Polk St APT 5,2575,1,1,NA,Apartment,Shared,NA,NA,No,On street,94109
303,303,2539 Lombard St,3499,1,1,900,Apartment,Shared,Forced air,NA,"Cats, small dogs",Off street,94123
219,219,249 Shipley St APT 9,3800,1,1.5,892,Multi Family,In Unit,NA,NA,NA,Garage - Attached,94107
395,395,2477 California St,4500,1,1,1100,Apartment,Shared,Forced air,NA,"Cats, small dogs",On street,94115
2,2,2450 Greenwich St # A,2550,Studio,1,NA,Apartment,NA,NA,NA,No,On street,94123
149,149,2433 Polk St APT 4,3900,1,1,NA,Multi Family,NA,NA,NA,"Cats, large dogs, small dogs",NA,94109
415,415,2425 Buchanan St APT 101,3200,1,1,NA,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94115
227,227,2401 23rd Ave APT 4,2095,1,1,NA,Multi Family,Shared,NA,NA,No,NA,94116
93,93,240 Clinton Park # A,2600,1,1,NA,Apartment,Shared,NA,NA,No,NA,94103
74,74,240 Chattanooga St,3295,1,1,650,Apartment,Shared,NA,NA,No,On street,94114
321,321,2379 20th Ave APT 6,3197,2,1,NA,Multi Family,NA,NA,NA,No,NA,94116
175,175,2370 Chestnut St,2450,Studio,1,NA,Multi Family,NA,NA,NA,NA,NA,94123
90,90,237 Miramar Ave,2850,2,1,NA,Apartment,NA,Forced air,NA,No,Off street,94112
146,146,2369 Union St APT 4,3495,1,1,700,Multi Family,NA,NA,NA,No,On street,94123
73,73,2358 Bryant Street # FL 3RD,3650,1,1,900,Apartment,Shared,Forced air,NA,"Cats, small dogs",On street,94110
416,416,2350 Van Ness Ave,2495,Studio,1,NA,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94109
67,67,2350 Union St APT 7,4195,2,1,NA,Apartment,Shared,NA,NA,"Cats, small dogs",NA,94123
228,228,235 Berry St APT 518,5995,2,2,NA,Multi Family,NA,NA,NA,No,NA,94158
56,56,2342 Franklin St,7195,4,2,1964,Apartment,In Unit,Forced air,NA,"Cats, large dogs, small dogs",On street,94123
344,344,2341 Union St APT 3,3495,1,1,650,Apartment,Shared,Forced air,NA,No,Garage - Attached,94123
198,198,2323 Larkin St APT 2,3400,2,1,NA,Apartment,Shared,NA,NA,No,On street,94109
55,55,2311 24th Ave # 1,3750,2,2,1300,Apartment,In Unit,Forced air,NA,No,Off street,94116
157,157,227 Sanchez Street # FL 3RD,2350,Studio,1,NA,Apartment,NA,Forced air,NA,No,NA,94114
305,305,2266 Washington St APT 8,3900,2,2,NA,Multi Family,NA,NA,NA,NA,Off street,94115
187,187,2261 Filbert 2261 Filbert,6950,4,2,NA,Multi Family,NA,NA,NA,NA,NA,94123
155,155,2240 Bryant St APT 31,2595,1,1,NA,Multi Family,NA,NA,NA,NA,NA,94110
366,366,2192 15th St,5995,3,2,1600,Apartment,In Unit,NA,NA,"Cats, small dogs",NA,94114
182,182,2189 Market St APT 5,4500,2,2,990,Multi Family,NA,NA,NA,"Cats, small dogs",NA,94114
326,326,2125 20th Ave # IN,2000,1,1,NA,Apartment,Shared,NA,NA,No,"Off street, On street",94116
25,25,2121 Turk Blvd APT 4,4000,2,1,980,Apartment,Shared,NA,NA,No,Garage - Attached,94115
309,309,2101 Baker St APT 8,3500,1,1,815,Multi Family,NA,NA,NA,No,NA,94115
336,336,2086 Bush St # 5,3800,2,1,800,Apartment,NA,NA,NA,"Cats, small dogs",On street,94115
316,316,2085 Sacramento St,2295,Studio,1,NA,Multi Family,Shared,NA,NA,No,NA,94109
408,408,208 28th St APT 203,5250,2,2,1000,Apartment,In Unit,NA,NA,No,Garage - Attached,94131
151,151,2060 Sutter St APT 205,4500,2,2,1215,Apartment,NA,Baseboard,NA,NA,Carport,94115
298,298,2033 Oak St # B,4900,3,2,1200,Multi Family,Shared,Forced air,NA,"Cats, large dogs, small dogs",NA,94117
247,247,2025 Stockton St APT 5,2495,1,1,NA,Multi Family,NA,NA,NA,NA,NA,94133
34,34,2025 Pine St APT 10,3095,1,1,700,Apartment,NA,NA,NA,Cats,Carport,94115
