Column1,Address,Zip,Monthly_Rent_USD,Bedrooms,Bathrooms,Area_SqFt,Building,Laundry,Heating,Cooling,Pets,Parking
208,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
209,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
210,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
211,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
212,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
213,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
214,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
215,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
216,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
217,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
218,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
219,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
220,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
221,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
222,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
223,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
224,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
225,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
226,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
227,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
228,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
229,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
230,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
231,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
232,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
233,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
234,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
235,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
236,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
237,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
238,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
239,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
240,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
241,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
242,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
243,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
244,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
245,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
246,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
247,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
248,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
249,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
250,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
251,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
252,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
253,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
254,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
255,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
256,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
257,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
258,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
259,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
260,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
261,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
262,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
263,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
264,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
265,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
266,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
267,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
268,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
269,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
270,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
271,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
272,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
273,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
274,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
275,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
276,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
277,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
278,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
279,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
280,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
281,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
282,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
283,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
284,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
285,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
286,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
287,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
288,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
289,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
290,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
291,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
292,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
293,220 Fairmount St,94131,4300,2,1,1485,House,NA,Other,NA,Yes,Available 
294,3655 21st St,94114,10000,3,2,2212,House,In Unit,NA,NA,Yes,NA
295,2233 Santiago St,94116,2100,2,1,500,House,NA,NA,NA,Yes,Street
296,Maddux Ave,94124,3900,3,2,1200,House,In Unit,Forced air,NA,No,Garage
297,2786 38th Ave,94116,5400,5,3,NA,House,In Unit,Forced air,NA,Yes,Street
298,21st Ave,94132,5400,3,2,NA,House,In Unit,Forced air,None,No,NA
299,Rockdale Dr,94127,4800,3,1,1320,House,In Unit,NA,NA,No,NA
300,Orizaba Ave,94132,2500,2,1,1075,House,Shared,Forced air,NA,No,Street
301,525 20th Avenue # Upper Floor,94121,4250,2,1,NA,House,NA,Forced air,NA,Yes,NA
302,268 Madison St,94134,2000,1,1,650,House,NA,Forced air,Central,Yes,Street
303,848 N Point St,94109,4900,2,2,1200,House,NA,NA,NA,No,NA
304,Central Ave,94117,14000,5,3,2830,House,NA,Radiant,Central,No,NA
305,1133 Kansas St,94107,8900,3,2,2000,House,In Unit,Forced air,None,Yes,Available 
306,2351 33rd Ave,94116,5500,4,2,1450,House,Shared,NA,NA,No,NA
307,Washington St,94115,15000,3,2,2488,House,NA,NA,NA,No,NA
308,Pierce St,94123,25000,4,3.5,3884,House,In Unit,NA,NA,No,NA
309,459 Colon Ave,94127,4700,3,1.5,1751,House,In Unit,Forced air,NA,Yes,Street
310,243 Noriega St,94122,5000,3,2.5,1675,House,In Unit,NA,NA,Yes,NA
311,135 Evelyn Way,94127,5880,5,3,1650,House,In Unit,Forced air,NA,Yes,Street
312,21 Summit Way,94132,6500,3,2,NA,House,NA,NA,NA,No,NA
313,1535 44th Ave,94122,5500,3,2,1300,House,In Unit,Forced air,NA,Yes,NA
314,831 Marina Blvd,94123,13500,3,4,2420,House,NA,NA,NA,Yes,NA
315,869 Faxon Ave,94112,4950,2,1,1450,House,NA,Forced air,NA,No,Available 
316,253 Friedell St,94124,4500,3,2.5,1318,House,In Unit,Forced air,"Central, Other",No,Garage
317,727 Green St,94133,5500,4,5,1200,House,NA,NA,NA,Yes,NA
318,1731 Vallejo St,94123,9500,2,2.5,2400,House,In Unit,Forced air,NA,No,Garage
319,Eureka St,94114,10000,4,3,NA,House,In Unit,Forced air,None,No,Garage
