"","Address","Zip","Rent","Beds","Ba","Area","Bldg","Type","Laundry","Heating","Cooling","Pets","Parking"
"203",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"204",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"205",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"206",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"207",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"208",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"209",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"210",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"211",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"212",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"213",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"214",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"215",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"216",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"217",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"218",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"219",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"220",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"221",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"222",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"223",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"224",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"225",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"226",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"227",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"228",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"229",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"230",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"231",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"232",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"233",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"234",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"235",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"236",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"237",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"238",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"239",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"240",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"241",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"242",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"243",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"244",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"245",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"246",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"247",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"248",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"249",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"250",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
"251",1,94107,8900,3,2,2000,"House","Single Family","In Unit","Forced air","None","Yes","1 space"
"252",9,94116,5500,4,2,1450,"House","Single Family","Shared",NA,NA,"No",NA
"253",27,94115,15000,3,2,2488,"House","Single Family",NA,NA,NA,"No",NA
"254",25,94123,25000,4,35,3884,"House","Single Family","In Unit",NA,NA,"No",NA
"255",15,94127,4700,3,15,1751,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"256",10,94122,5000,3,25,1675,"House","Single Family","In Unit",NA,NA,"Yes",NA
"257",2,94127,5880,5,3,1650,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"258",5,94132,6500,3,2,NA,"House","Single Family",NA,NA,NA,"No",NA
"259",3,94122,5500,3,2,1300,"House","Single Family","In Unit","Forced air",NA,"Yes",NA
"260",18,94123,13500,3,4,2420,"House","Single Family",NA,NA,NA,"Yes",NA
"261",20,94112,4950,2,1,1450,"House","Single Family",NA,"Forced air",NA,"No","1 space"
"262",11,94124,4500,3,25,1318,"House","Townhouse","In Unit","Forced air","Central, Other","No","Garage"
"263",17,94133,5500,4,5,1200,"House","Townhouse",NA,NA,NA,"Yes",NA
"264",4,94123,9500,2,25,2400,"House","Townhouse","In Unit","Forced air",NA,"No","Garage"
"265",22,94114,10000,4,3,NA,"House","Single Family","In Unit","Forced air","None","No","Garage"
"266",7,94131,4300,2,1,1485,"House","Single Family",NA,"Other",NA,"Yes","1 space"
"267",14,94114,10000,3,2,2212,"House","Single Family","In Unit",NA,NA,"Yes",NA
"268",8,94116,2100,2,1,500,"House","Single Family",NA,NA,NA,"Yes","Street"
"269",23,94124,3900,3,2,1200,"House","Single Family","In Unit","Forced air",NA,"No","Garage"
"270",13,94116,5400,5,3,NA,"House","Single Family","In Unit","Forced air",NA,"Yes","Street"
"271",6,94132,5400,3,2,NA,"House","Single Family","In Unit","Forced air","None","No",NA
"272",26,94127,4800,3,1,1320,"House","Single Family","In Unit",NA,NA,"No",NA
"273",24,94132,2500,2,1,1075,"House","Single Family","Shared","Forced air",NA,"No","Street"
"274",16,94121,4250,2,1,NA,"House","Townhouse",NA,"Forced air",NA,"Yes",NA
"275",12,94134,2000,1,1,650,"House","Single Family",NA,"Forced air","Central","Yes","Street"
"276",19,94109,4900,2,2,1200,"House","Single Family",NA,NA,NA,"No",NA
"277",21,94117,14000,5,3,2830,"House","Single Family",NA,"Radiant","Central","No",NA
