"","House Type","Laundry","Heating","Cooling","Parking","Rent/Month","Beds","Baths","Square Feet","Address","Zipcode"
"297","Single Family","In Unit","Forced air",NA,"Off street, On street",5400,5,3,NA,"2786 38th Ave",94116
"298","Single Family","In Unit","Forced air","None",NA,5400,3,2,NA,"21st Ave",94132
"299","Single Family","In Unit",NA,NA,NA,4800,3,1,1320,"Rockdale Dr",94127
"300","Single Family","Shared","Forced air",NA,"On street",2500,2,1,1075,"Orizaba Ave",94132
"301","Townhouse",NA,"Forced air",NA,NA,4250,2,1,NA,"525 20th Avenue # Upper Floor",94121
"302","Single Family",NA,"Forced air","Central","On street",2000,1,1,650,"268 Madison St",94134
"303","Single Family",NA,NA,NA,NA,4900,2,2,1200,"848 N Point St",94109
"304","Single Family",NA,"Radiant","Central",NA,14000,5,3,2830,"Central Ave",94117
"305","Single Family","In Unit","Forced air","None","1 space",8900,3,2,2000,"1133 Kansas St",94107
"306","Single Family","Shared",NA,NA,NA,5500,4,2,1450,"2351 33rd Ave",94116
"307","Single Family",NA,NA,NA,NA,15000,3,2,2488,"Washington St",94115
"308","Single Family","In Unit",NA,NA,NA,25000,4,35,3884,"Pierce St",94123
"309","Single Family","In Unit","Forced air",NA,"On street",4700,3,15,1751,"459 Colon Ave",94127
"310","Single Family","In Unit",NA,NA,NA,5000,3,25,1675,"243 Noriega St",94122
"311","Single Family","In Unit","Forced air",NA,"On street",5880,5,3,1650,"135 Evelyn Way",94127
"312","Single Family",NA,NA,NA,NA,6500,3,2,NA,"21 Summit Way",94132
"313","Single Family","In Unit","Forced air",NA,NA,5500,3,2,1300,"1535 44th Ave",94122
"314","Single Family",NA,NA,NA,NA,13500,3,4,2420,"831 Marina Blvd",94123
"315","Single Family",NA,"Forced air",NA,"1 space",4950,2,1,1450,"869 Faxon Ave",94112
"316","Townhouse","In Unit","Forced air","Central, Other","Garage - Attached",4500,3,25,1318,"253 Friedell St",94124
"317","Townhouse",NA,NA,NA,NA,5500,4,5,1200,"727 Green St",94133
"318","Townhouse","In Unit","Forced air",NA,"Carport, Garage - Detached, On street",9500,2,25,2400,"1731 Vallejo St",94123
"319","Single Family","In Unit","Forced air","None","Garage - Attached",10000,4,3,NA,"Eureka St",94114
"320","Single Family",NA,"Other",NA,"1 space",4300,2,1,1485,"220 Fairmount St",94131
"321","Single Family","In Unit",NA,NA,NA,10000,3,2,2212,"3655 21st St",94114
"322","Single Family",NA,NA,NA,"On street",2100,2,1,500,"2233 Santiago St",94116
"323","Single Family","In Unit","Forced air",NA,"Garage - Attached",3900,3,2,1200,"Maddux Ave",94124
"324","Single Family","In Unit","Forced air",NA,"Off street, On street",5400,5,3,NA,"2786 38th Ave",94116
"325","Single Family","In Unit","Forced air","None",NA,5400,3,2,NA,"21st Ave",94132
"326","Single Family","In Unit",NA,NA,NA,4800,3,1,1320,"Rockdale Dr",94127
"327","Single Family","Shared","Forced air",NA,"On street",2500,2,1,1075,"Orizaba Ave",94132
"328","Townhouse",NA,"Forced air",NA,NA,4250,2,1,NA,"525 20th Avenue # Upper Floor",94121
"329","Single Family",NA,"Forced air","Central","On street",2000,1,1,650,"268 Madison St",94134
"330","Single Family",NA,NA,NA,NA,4900,2,2,1200,"848 N Point St",94109
"331","Single Family",NA,"Radiant","Central",NA,14000,5,3,2830,"Central Ave",94117
"332","Single Family","In Unit","Forced air","None","1 space",8900,3,2,2000,"1133 Kansas St",94107
"333","Single Family","Shared",NA,NA,NA,5500,4,2,1450,"2351 33rd Ave",94116
"334","Single Family",NA,NA,NA,NA,15000,3,2,2488,"Washington St",94115
"335","Single Family","In Unit",NA,NA,NA,25000,4,35,3884,"Pierce St",94123
"336","Single Family","In Unit","Forced air",NA,"On street",4700,3,15,1751,"459 Colon Ave",94127
"337","Single Family","In Unit",NA,NA,NA,5000,3,25,1675,"243 Noriega St",94122
"338","Single Family","In Unit","Forced air",NA,"On street",5880,5,3,1650,"135 Evelyn Way",94127
"339","Single Family",NA,NA,NA,NA,6500,3,2,NA,"21 Summit Way",94132
"340","Single Family","In Unit","Forced air",NA,NA,5500,3,2,1300,"1535 44th Ave",94122
"341","Single Family",NA,NA,NA,NA,13500,3,4,2420,"831 Marina Blvd",94123
"342","Single Family",NA,"Forced air",NA,"1 space",4950,2,1,1450,"869 Faxon Ave",94112
"343","Townhouse","In Unit","Forced air","Central, Other","Garage - Attached",4500,3,25,1318,"253 Friedell St",94124
"344","Townhouse",NA,NA,NA,NA,5500,4,5,1200,"727 Green St",94133
"345","Townhouse","In Unit","Forced air",NA,"Carport, Garage - Detached, On street",9500,2,25,2400,"1731 Vallejo St",94123
"346","Single Family","In Unit","Forced air","None","Garage - Attached",10000,4,3,NA,"Eureka St",94114
"347","Single Family",NA,"Other",NA,"1 space",4300,2,1,1485,"220 Fairmount St",94131
"348","Single Family","In Unit",NA,NA,NA,10000,3,2,2212,"3655 21st St",94114
"349","Single Family",NA,NA,NA,"On street",2100,2,1,500,"2233 Santiago St",94116
"350","Single Family","In Unit","Forced air",NA,"Garage - Attached",3900,3,2,1200,"Maddux Ave",94124
"351","Single Family","In Unit","Forced air",NA,"Off street, On street",5400,5,3,NA,"2786 38th Ave",94116
